file,query,evidence,intervention
tree_40_2.lp,reach(43),\+reach(43);reach(21),reach(34);reach(18)
tree_80_3.lp,reach(84),\+reach(84);reach(29),reach(78);reach(69)
tree_20_22.lp,reach(43),\+reach(43);reach(3),reach(8);reach(28)
tree_20_11.lp,reach(32),\+reach(32);reach(17),reach(28);reach(3)
tree_40_21.lp,reach(62),\+reach(62);reach(21),reach(34);reach(56)
tree_30_11.lp,reach(42),\+reach(42);\+reach(12),reach(17);reach(0)
tree_20_13.lp,reach(34),\+reach(34);reach(6),reach(21);reach(30)
tree_60_7.lp,reach(68),\+reach(68);\+reach(22),reach(30);reach(44)
tree_110_20.lp,reach(131),\+reach(131);reach(22),reach(121);reach(54)
tree_20_2.lp,reach(23),\+reach(23);reach(17),reach(13);reach(15)
tree_70_5.lp,reach(76),\+reach(76);\+reach(47),reach(29);reach(3)
tree_50_2.lp,reach(53),\+reach(53);\+reach(38),reach(3);reach(12)
tree_20_25.lp,reach(46),\+reach(46);reach(35),reach(11);reach(44)
tree_150_23.lp,reach(174),\+reach(174);\+reach(54),reach(77);reach(159)
tree_160_15.lp,reach(176),\+reach(176);\+reach(47),reach(145);reach(83)
tree_150_8.lp,reach(159),\+reach(159);\+reach(79),reach(75);reach(88)
tree_60_10.lp,reach(71),\+reach(71);reach(38),reach(38)
tree_50_17.lp,reach(68),\+reach(68);\+reach(42),reach(14);reach(37)
tree_180_5.lp,reach(186),\+reach(186);\+reach(157),reach(80);reach(4)
tree_60_25.lp,reach(86),\+reach(86);reach(20),reach(77);reach(20)
tree_40_18.lp,reach(59),\+reach(59);reach(27),reach(2);reach(4)
tree_100_11.lp,reach(112),\+reach(112);reach(11),reach(30);reach(70)
tree_40_1.lp,reach(42),\+reach(42);\+reach(7),reach(20);reach(9)
tree_70_17.lp,reach(88),\+reach(88);\+reach(37),reach(9);reach(13)
tree_110_22.lp,reach(133),\+reach(133);reach(86),reach(78);reach(8)
tree_90_19.lp,reach(110),\+reach(110);reach(98),reach(15);reach(6)
tree_20_5.lp,reach(26),\+reach(26);\+reach(12),reach(12);reach(13)
tree_40_19.lp,reach(60),\+reach(60);\+reach(20),reach(36);reach(50)
tree_110_2.lp,reach(113),\+reach(113);reach(87),reach(106);reach(64)
tree_30_7.lp,reach(38),\+reach(38);reach(13),reach(13);reach(14)
tree_120_19.lp,reach(140),\+reach(140);\+reach(128),reach(18);reach(138)
tree_140_14.lp,reach(155),\+reach(155);reach(40),reach(43);reach(72)
tree_80_13.lp,reach(94),\+reach(94);\+reach(56),reach(68);reach(76)
tree_120_21.lp,reach(142),\+reach(142);reach(139),reach(48);reach(39)
tree_150_16.lp,reach(167),\+reach(167);\+reach(51),reach(154);reach(91)
tree_160_11.lp,reach(172),\+reach(172);\+reach(154),reach(160);reach(4)
tree_130_18.lp,reach(149),\+reach(149);reach(31),reach(44);reach(103)
tree_140_4.lp,reach(145),\+reach(145);\+reach(137),reach(61);reach(136)
tree_60_11.lp,reach(72),\+reach(72);\+reach(12),reach(41);reach(59)
tree_130_7.lp,reach(138),\+reach(138);\+reach(82),reach(82);reach(19)
tree_20_20.lp,reach(41),\+reach(41);\+reach(1),reach(39)
tree_120_5.lp,reach(126),\+reach(126);\+reach(8),reach(117);reach(43)
tree_40_11.lp,reach(52),\+reach(52);\+reach(27),reach(5);reach(16)
tree_160_6.lp,reach(167),\+reach(167);\+reach(56),reach(161);reach(131)
tree_120_16.lp,reach(137),\+reach(137);\+reach(38),reach(92);reach(83)
tree_90_10.lp,reach(101),\+reach(101);reach(89),reach(36);reach(86)
tree_110_19.lp,reach(130),\+reach(130);\+reach(2),reach(14);reach(16)
tree_20_4.lp,reach(25),\+reach(25);reach(17),reach(18);reach(22)
tree_160_1.lp,reach(162),\+reach(162);\+reach(51),reach(14);reach(45)
tree_40_8.lp,reach(49),\+reach(49);\+reach(34),reach(9);reach(32)
tree_50_1.lp,reach(52),\+reach(52);\+reach(13),reach(50);reach(39)
tree_90_2.lp,reach(93),\+reach(93);reach(45),reach(64);reach(60)
tree_130_3.lp,reach(134),\+reach(134);reach(36),reach(48);reach(29)
tree_20_15.lp,reach(36),\+reach(36);\+reach(20),reach(5);reach(11)
tree_140_17.lp,reach(158),\+reach(158);\+reach(31),reach(62);reach(116)
tree_120_22.lp,reach(143),\+reach(143);reach(10),reach(17);reach(49)
tree_30_5.lp,reach(36),\+reach(36);reach(20),reach(21);reach(11)
tree_70_4.lp,reach(75),\+reach(75);\+reach(32),reach(43);reach(23)
tree_40_20.lp,reach(61),\+reach(61);\+reach(44),reach(30);reach(24)
tree_140_6.lp,reach(147),\+reach(147);reach(103),reach(1);reach(15)
tree_180_2.lp,reach(183),\+reach(183);reach(167),reach(94);reach(122)
tree_70_15.lp,reach(86),\+reach(86);\+reach(23),reach(75);reach(54)
tree_90_11.lp,reach(102),\+reach(102);\+reach(3),reach(97);reach(17)
tree_110_14.lp,reach(125),\+reach(125);\+reach(9),reach(62);reach(48)
tree_160_23.lp,reach(184),\+reach(184);\+reach(130),reach(72);reach(71)
tree_20_8.lp,reach(29),\+reach(29);reach(21),reach(22);reach(20)
tree_70_9.lp,reach(80),\+reach(80);reach(23),reach(72);reach(52)
tree_90_6.lp,reach(97),\+reach(97);\+reach(20),reach(58);reach(78)
tree_30_13.lp,reach(44),\+reach(44);\+reach(30),reach(31);reach(19)
tree_30_3.lp,reach(34),\+reach(34);\+reach(29),reach(13);reach(22)
tree_200_6.lp,reach(207),\+reach(207);reach(76),reach(13);reach(66)
tree_30_25.lp,reach(56),\+reach(56);reach(0),reach(8);reach(44)
tree_100_14.lp,reach(115),\+reach(115);reach(109),reach(91);reach(51)
tree_20_18.lp,reach(39),\+reach(39);\+reach(18),reach(19);reach(28)
tree_50_18.lp,reach(69),\+reach(69);reach(55),reach(57);reach(40)
tree_30_10.lp,reach(41),\+reach(41);\+reach(8),reach(3);reach(8)
tree_130_9.lp,reach(140),\+reach(140);reach(62),reach(62);reach(25)
tree_110_16.lp,reach(127),\+reach(127);\+reach(32),reach(108);reach(64)
tree_130_5.lp,reach(136),\+reach(136);\+reach(111),reach(45);reach(116)
tree_20_23.lp,reach(44),\+reach(44);reach(19),reach(7);reach(34)
tree_80_10.lp,reach(91),\+reach(91);\+reach(19),reach(43);reach(6)
tree_80_12.lp,reach(93),\+reach(93);\+reach(41),reach(87);reach(16)
tree_180_18.lp,reach(199),\+reach(199);\+reach(115),reach(189);reach(135)
tree_120_23.lp,reach(144),\+reach(144);reach(133),reach(131);reach(83)
tree_150_25.lp,reach(176),\+reach(176);\+reach(57),reach(12);reach(21)
tree_180_16.lp,reach(197),\+reach(197);\+reach(34),reach(104);reach(132)
tree_140_12.lp,reach(153),\+reach(153);reach(63),reach(113);reach(2)
tree_160_19.lp,reach(180),\+reach(180);reach(149),reach(130);reach(119)
tree_70_2.lp,reach(73),\+reach(73);\+reach(17),reach(64);reach(57)
tree_40_12.lp,reach(53),\+reach(53);\+reach(37),reach(5);reach(38)
tree_80_9.lp,reach(90),\+reach(90);\+reach(76),reach(55);reach(20)
tree_70_21.lp,reach(92),\+reach(92);\+reach(27),reach(30);reach(3)
tree_110_18.lp,reach(129),\+reach(129);\+reach(33),reach(86);reach(124)
tree_50_3.lp,reach(54),\+reach(54);\+reach(25),reach(20)
tree_90_22.lp,reach(113),\+reach(113);\+reach(100),reach(36);reach(50)
tree_100_13.lp,reach(114),\+reach(114);reach(34),reach(23);reach(89)
tree_120_18.lp,reach(139),\+reach(139);\+reach(82),reach(91);reach(16)
tree_50_12.lp,reach(63),\+reach(63);\+reach(23),reach(58);reach(43)
tree_100_4.lp,reach(105),\+reach(105);reach(78),reach(25);reach(84)
tree_70_25.lp,reach(96),\+reach(96);\+reach(42),reach(50);reach(91)
tree_110_12.lp,reach(123),\+reach(123);\+reach(103),reach(38);reach(58)
tree_90_16.lp,reach(107),\+reach(107);reach(102),reach(21);reach(16)
tree_60_2.lp,reach(63),\+reach(63);\+reach(3),reach(19);reach(3)
tree_70_3.lp,reach(74),\+reach(74);\+reach(54),reach(21);reach(24)
tree_90_5.lp,reach(96),\+reach(96);\+reach(34),reach(83);reach(3)
tree_40_16.lp,reach(57),\+reach(57);reach(17),reach(0);reach(36)
tree_200_13.lp,reach(214),\+reach(214);\+reach(175),reach(23);reach(113)
tree_190_6.lp,reach(197),\+reach(197);reach(61),reach(106);reach(95)
tree_170_3.lp,reach(174),\+reach(174);reach(61),reach(146);reach(96)
tree_90_14.lp,reach(105),\+reach(105);\+reach(64),reach(4);reach(59)
tree_80_25.lp,reach(106),\+reach(106);reach(5),reach(67);reach(52)
tree_40_3.lp,reach(44),\+reach(44);reach(19),reach(35);reach(6)
tree_70_24.lp,reach(95),\+reach(95);\+reach(12),reach(68);reach(50)
tree_60_19.lp,reach(80),\+reach(80);reach(35),reach(55);reach(56)
tree_20_16.lp,reach(37),\+reach(37);\+reach(31),reach(6);reach(10)
tree_170_2.lp,reach(173),\+reach(173);\+reach(103),reach(102);reach(82)
tree_80_1.lp,reach(82),\+reach(82);\+reach(26),reach(63);reach(60)
tree_80_11.lp,reach(92),\+reach(92);\+reach(11),reach(77);reach(74)
tree_60_21.lp,reach(82),\+reach(82);reach(21),reach(31);reach(68)
tree_40_5.lp,reach(46),\+reach(46);\+reach(34),reach(40);reach(15)
tree_50_22.lp,reach(73),\+reach(73);reach(30),reach(45);reach(32)
tree_30_9.lp,reach(40),\+reach(40);reach(21),reach(13);reach(9)
tree_70_8.lp,reach(79),\+reach(79);reach(74),reach(73);reach(54)
tree_180_1.lp,reach(182),\+reach(182);reach(108),reach(150);reach(138)
tree_100_9.lp,reach(110),\+reach(110);reach(106),reach(36);reach(4)
tree_80_15.lp,reach(96),\+reach(96);reach(62),reach(92);reach(25)
tree_100_10.lp,reach(111),\+reach(111);\+reach(55),reach(47);reach(64)
tree_120_8.lp,reach(129),\+reach(129);reach(64),reach(12);reach(119)
tree_120_7.lp,reach(128),\+reach(128);\+reach(82),reach(73);reach(46)
tree_120_1.lp,reach(122),\+reach(122);\+reach(97),reach(43);reach(37)
tree_100_15.lp,reach(116),\+reach(116);\+reach(20),reach(47);reach(104)
tree_50_11.lp,reach(62),\+reach(62);reach(51),reach(36);reach(18)
tree_110_21.lp,reach(132),\+reach(132);reach(2),reach(119);reach(112)
tree_70_23.lp,reach(94),\+reach(94);reach(8),reach(33);reach(13)
tree_200_3.lp,reach(204),\+reach(204);reach(155),reach(60);reach(119)
tree_100_8.lp,reach(109),\+reach(109);\+reach(89),reach(56);reach(100)
tree_180_9.lp,reach(190),\+reach(190);reach(2),reach(156);reach(83)
tree_130_1.lp,reach(132),\+reach(132);\+reach(20),reach(55);reach(7)
tree_140_10.lp,reach(151),\+reach(151);\+reach(74),reach(104);reach(74)
tree_60_24.lp,reach(85),\+reach(85);\+reach(10),reach(11);reach(67)
tree_120_17.lp,reach(138),\+reach(138);\+reach(120),reach(114);reach(29)
tree_120_14.lp,reach(135),\+reach(135);\+reach(70),reach(61);reach(72)
tree_160_25.lp,reach(186),\+reach(186);\+reach(162),reach(112);reach(65)
tree_170_15.lp,reach(186),\+reach(186);\+reach(166),reach(103);reach(7)
tree_140_22.lp,reach(163),\+reach(163);reach(14),reach(96);reach(37)
tree_190_19.lp,reach(210),\+reach(210);reach(2),reach(205);reach(17)
tree_30_4.lp,reach(35),\+reach(35);reach(25),reach(10);reach(12)
tree_110_4.lp,reach(115),\+reach(115);reach(101),reach(43);reach(48)
tree_70_7.lp,reach(78),\+reach(78);\+reach(23),reach(41);reach(14)
tree_110_15.lp,reach(126),\+reach(126);reach(78),reach(15);reach(12)
tree_30_18.lp,reach(49),\+reach(49);\+reach(41),reach(43);reach(35)
tree_50_14.lp,reach(65),\+reach(65);\+reach(11),reach(4);reach(41)
tree_50_10.lp,reach(61),\+reach(61);\+reach(44),reach(0);reach(32)
tree_160_3.lp,reach(164),\+reach(164);reach(73),reach(143);reach(22)
tree_50_16.lp,reach(67),\+reach(67);reach(43),reach(11);reach(15)
tree_60_5.lp,reach(66),\+reach(66);\+reach(31),reach(53);reach(60)
tree_40_7.lp,reach(48),\+reach(48);\+reach(38),reach(18);reach(3)
tree_30_6.lp,reach(37),\+reach(37);\+reach(8),reach(15);reach(1)
tree_60_9.lp,reach(70),\+reach(70);\+reach(25),reach(8);reach(33)
tree_100_2.lp,reach(103),\+reach(103);reach(40),reach(72);reach(64)
tree_100_7.lp,reach(108),\+reach(108);reach(52),reach(12);reach(13)
tree_80_7.lp,reach(88),\+reach(88);\+reach(56),reach(75);reach(39)
tree_60_1.lp,reach(62),\+reach(62);reach(17),reach(33);reach(46)
tree_140_3.lp,reach(144),\+reach(144);reach(141),reach(36);reach(49)
tree_30_17.lp,reach(48),\+reach(48);\+reach(0),reach(13);reach(38)
tree_70_19.lp,reach(90),\+reach(90);\+reach(11),reach(57);reach(9)
tree_180_8.lp,reach(189),\+reach(189);\+reach(155),reach(165);reach(88)
tree_60_15.lp,reach(76),\+reach(76);reach(52),reach(64);reach(10)
tree_140_1.lp,reach(142),\+reach(142);\+reach(123),reach(100);reach(61)
tree_60_13.lp,reach(74),\+reach(74);reach(22),reach(12);reach(9)
tree_30_22.lp,reach(53),\+reach(53);reach(27),reach(46);reach(42)
tree_90_23.lp,reach(114),\+reach(114);\+reach(26),reach(52);reach(34)
tree_140_2.lp,reach(143),\+reach(143);reach(35),reach(50);reach(74)
tree_100_5.lp,reach(106),\+reach(106);\+reach(11),reach(65);reach(53)
tree_200_15.lp,reach(216),\+reach(216);reach(163),reach(33);reach(77)
tree_190_16.lp,reach(207),\+reach(207);\+reach(184),reach(20);reach(148)
tree_190_14.lp,reach(205),\+reach(205);reach(76),reach(42);reach(122)
tree_150_4.lp,reach(155),\+reach(155);\+reach(35),reach(6);reach(62)
tree_160_4.lp,reach(165),\+reach(165);reach(98),reach(92);reach(9)
tree_150_6.lp,reach(157),\+reach(157);reach(97),reach(104);reach(26)
tree_140_5.lp,reach(146),\+reach(146);\+reach(55),reach(35);reach(57)
tree_130_15.lp,reach(146),\+reach(146);\+reach(67),reach(121);reach(100)
tree_190_12.lp,reach(203),\+reach(203);reach(62),reach(98);reach(55)
tree_180_7.lp,reach(188),\+reach(188);\+reach(27),reach(109);reach(0)
tree_60_23.lp,reach(84),\+reach(84);reach(52),reach(5);reach(56)
tree_140_8.lp,reach(149),\+reach(149);reach(137),reach(143);reach(134)
tree_160_21.lp,reach(182),\+reach(182);\+reach(87),reach(128);reach(34)
tree_30_15.lp,reach(46),\+reach(46);\+reach(30),reach(23);reach(44)
tree_20_10.lp,reach(31),\+reach(31);reach(8),reach(23);reach(12)
tree_70_11.lp,reach(82),\+reach(82);reach(24),reach(19);reach(80)
tree_50_13.lp,reach(64),\+reach(64);reach(18),reach(17);reach(13)
tree_120_3.lp,reach(124),\+reach(124);reach(76),reach(90);reach(110)
tree_110_8.lp,reach(119),\+reach(119);\+reach(5),reach(17);reach(9)
tree_90_9.lp,reach(100),\+reach(100);\+reach(70),reach(82);reach(22)
tree_200_2.lp,reach(203),\+reach(203);\+reach(197),reach(108);reach(129)
tree_100_16.lp,reach(117),\+reach(117);reach(72),reach(79);reach(2)
tree_40_24.lp,reach(65),\+reach(65);reach(14),reach(54);reach(22)
tree_100_17.lp,reach(118),\+reach(118);reach(87),reach(90);reach(94)
tree_90_25.lp,reach(116),\+reach(116);\+reach(24),reach(24);reach(49)
tree_30_1.lp,reach(32),\+reach(32);reach(16),reach(4);reach(0)
tree_30_19.lp,reach(50),\+reach(50);\+reach(14),reach(36);reach(12)
tree_40_22.lp,reach(63),\+reach(63);reach(51),reach(17);reach(4)
tree_110_7.lp,reach(118),\+reach(118);reach(33),reach(44);reach(60)
tree_50_23.lp,reach(74),\+reach(74);\+reach(5),reach(2);reach(72)
tree_40_23.lp,reach(64),\+reach(64);reach(29),reach(58);reach(28)
tree_180_4.lp,reach(185),\+reach(185);\+reach(21),reach(75);reach(74)
tree_140_13.lp,reach(154),\+reach(154);\+reach(122),reach(113);reach(121)
tree_160_5.lp,reach(166),\+reach(166);reach(47),reach(123);reach(101)
tree_20_12.lp,reach(33),\+reach(33);reach(1),reach(24);reach(28)
tree_50_5.lp,reach(56),\+reach(56);\+reach(3),reach(8);reach(44)
tree_130_16.lp,reach(147),\+reach(147);\+reach(58),reach(35);reach(52)
tree_180_11.lp,reach(192),\+reach(192);\+reach(81),reach(3);reach(48)
tree_150_18.lp,reach(169),\+reach(169);\+reach(143),reach(4);reach(64)
tree_180_3.lp,reach(184),\+reach(184);reach(49),reach(46);reach(145)
tree_60_17.lp,reach(78),\+reach(78);\+reach(27),reach(25);reach(10)
tree_190_5.lp,reach(196),\+reach(196);\+reach(154),reach(3);reach(131)
tree_60_22.lp,reach(83),\+reach(83);reach(51),reach(20);reach(33)
tree_90_18.lp,reach(109),\+reach(109);reach(40),reach(28);reach(55)
tree_120_10.lp,reach(131),\+reach(131);reach(75),reach(105);reach(59)
tree_90_13.lp,reach(104),\+reach(104);reach(92),reach(93);reach(21)
tree_80_17.lp,reach(98),\+reach(98);\+reach(94),reach(53);reach(24)
tree_70_18.lp,reach(89),\+reach(89);reach(15),reach(45);reach(43)
tree_180_20.lp,reach(201),\+reach(201);\+reach(63),reach(50);reach(56)
tree_150_9.lp,reach(160),\+reach(160);\+reach(109),reach(39);reach(112)
tree_80_21.lp,reach(102),\+reach(102);\+reach(33),reach(76);reach(35)
tree_160_18.lp,reach(179),\+reach(179);reach(166),reach(34);reach(93)
tree_80_24.lp,reach(105),\+reach(105);\+reach(24),reach(29);reach(89)
tree_110_10.lp,reach(121),\+reach(121);reach(65),reach(82);reach(19)
tree_50_20.lp,reach(71),\+reach(71);\+reach(32),reach(58);reach(28)
tree_180_6.lp,reach(187),\+reach(187);\+reach(117),reach(89);reach(137)
tree_90_3.lp,reach(94),\+reach(94);\+reach(2),reach(56);reach(85)
tree_120_12.lp,reach(133),\+reach(133);reach(0),reach(103);reach(35)
tree_100_23.lp,reach(124),\+reach(124);reach(16),reach(71);reach(57)
tree_190_17.lp,reach(208),\+reach(208);reach(37),reach(159);reach(116)
tree_110_24.lp,reach(135),\+reach(135);reach(52),reach(83);reach(114)
tree_130_19.lp,reach(150),\+reach(150);\+reach(134),reach(16);reach(13)
tree_170_7.lp,reach(178),\+reach(178);reach(171),reach(110);reach(159)
tree_200_14.lp,reach(215),\+reach(215);reach(33),reach(34);reach(36)
tree_140_18.lp,reach(159),\+reach(159);reach(74),reach(108);reach(93)
tree_170_17.lp,reach(188),\+reach(188);\+reach(22),reach(88);reach(102)
tree_70_13.lp,reach(84),\+reach(84);\+reach(69),reach(65);reach(27)
tree_120_24.lp,reach(145),\+reach(145);\+reach(142),reach(110);reach(117)
tree_170_8.lp,reach(179),\+reach(179);reach(172),reach(169);reach(29)
tree_90_15.lp,reach(106),\+reach(106);reach(61),reach(70);reach(75)
tree_180_23.lp,reach(204),\+reach(204);\+reach(0),reach(6);reach(103)
tree_40_25.lp,reach(66),\+reach(66);reach(59),reach(51);reach(64)
tree_100_12.lp,reach(113),\+reach(113);\+reach(16),reach(37);reach(101)
tree_160_16.lp,reach(177),\+reach(177);reach(43),reach(115);reach(131)
tree_190_9.lp,reach(200),\+reach(200);reach(27),reach(96);reach(9)
tree_120_13.lp,reach(134),\+reach(134);reach(56),reach(78);reach(21)
tree_130_8.lp,reach(139),\+reach(139);reach(1),reach(113);reach(96)
tree_200_25.lp,reach(226),\+reach(226);reach(60),reach(3);reach(111)
tree_30_14.lp,reach(45),\+reach(45);reach(37),reach(31);reach(39)
tree_130_22.lp,reach(153),\+reach(153);\+reach(11),reach(90);reach(12)
tree_200_16.lp,reach(217),\+reach(217);\+reach(136),reach(116);reach(59)
tree_170_25.lp,reach(196),\+reach(196);reach(63),reach(158);reach(28)
tree_30_21.lp,reach(52),\+reach(52);\+reach(39),reach(8);reach(9)
tree_110_13.lp,reach(124),\+reach(124);\+reach(41),reach(24);reach(0)
tree_190_10.lp,reach(201),\+reach(201);reach(85),reach(96);reach(6)
tree_190_20.lp,reach(211),\+reach(211);\+reach(125),reach(181);reach(24)
tree_180_24.lp,reach(205),\+reach(205);reach(79),reach(99);reach(185)
tree_150_17.lp,reach(168),\+reach(168);reach(52),reach(141);reach(108)
tree_160_20.lp,reach(181),\+reach(181);\+reach(93),reach(32);reach(11)
tree_200_8.lp,reach(209),\+reach(209);reach(106),reach(173);reach(183)
tree_100_18.lp,reach(119),\+reach(119);\+reach(23),reach(15);reach(93)
tree_30_20.lp,reach(51),\+reach(51);\+reach(18),reach(12);reach(3)
tree_110_1.lp,reach(112),\+reach(112);\+reach(19),reach(98);reach(61)
tree_130_13.lp,reach(144),\+reach(144);reach(84),reach(108);reach(49)
tree_140_20.lp,reach(161),\+reach(161);\+reach(1),reach(66);reach(128)
tree_190_7.lp,reach(198),\+reach(198);reach(83),reach(182);reach(51)
tree_190_23.lp,reach(214),\+reach(214);\+reach(46),reach(90);reach(8)
tree_30_16.lp,reach(47),\+reach(47);reach(32),reach(19);reach(10)
tree_160_13.lp,reach(174),\+reach(174);\+reach(167),reach(168);reach(109)
tree_40_15.lp,reach(56),\+reach(56);reach(5),reach(53);reach(20)
tree_40_17.lp,reach(58),\+reach(58);\+reach(23),reach(48);reach(32)
tree_110_5.lp,reach(116),\+reach(116);\+reach(100),reach(93);reach(111)
tree_160_10.lp,reach(171),\+reach(171);reach(62),reach(89);reach(142)
tree_80_16.lp,reach(97),\+reach(97);\+reach(87),reach(0);reach(78)
tree_170_1.lp,reach(172),\+reach(172);reach(48),reach(33);reach(95)
tree_80_6.lp,reach(87),\+reach(87);reach(33),reach(16);reach(40)
tree_170_14.lp,reach(185),\+reach(185);reach(120),reach(109);reach(56)
tree_140_24.lp,reach(165),\+reach(165);\+reach(43),reach(22);reach(153)
tree_80_20.lp,reach(101),\+reach(101);reach(44),reach(55);reach(83)
tree_120_25.lp,reach(146),\+reach(146);reach(46),reach(141);reach(137)
tree_100_19.lp,reach(120),\+reach(120);\+reach(26),reach(111);reach(61)
tree_90_20.lp,reach(111),\+reach(111);reach(12),reach(63);reach(27)
tree_180_12.lp,reach(193),\+reach(193);reach(164),reach(165);reach(159)
tree_140_11.lp,reach(152),\+reach(152);reach(101),reach(1);reach(61)
tree_170_5.lp,reach(176),\+reach(176);\+reach(171),reach(162);reach(28)
tree_150_13.lp,reach(164),\+reach(164);reach(89),reach(150);reach(61)
tree_130_17.lp,reach(148),\+reach(148);reach(62),reach(43);reach(47)
tree_180_21.lp,reach(202),\+reach(202);\+reach(167),reach(149);reach(195)
tree_180_14.lp,reach(195),\+reach(195);reach(133),reach(88);reach(108)
tree_160_17.lp,reach(178),\+reach(178);\+reach(42),reach(175);reach(74)
tree_190_2.lp,reach(193),\+reach(193);\+reach(77),reach(29);reach(152)
tree_70_14.lp,reach(85),\+reach(85);\+reach(50),reach(2);reach(51)
tree_150_15.lp,reach(166),\+reach(166);\+reach(138),reach(154);reach(67)
tree_120_2.lp,reach(123),\+reach(123);reach(53),reach(121);reach(103)
tree_90_7.lp,reach(98),\+reach(98);reach(85),reach(14);reach(55)
tree_80_5.lp,reach(86),\+reach(86);\+reach(65),reach(58);reach(83)
tree_80_18.lp,reach(99),\+reach(99);\+reach(6),reach(24);reach(13)
