file,query,evidence,intervention
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),reach(113);reach(91)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),reach(97);reach(85);reach(52)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),reach(3);reach(10);reach(84);reach(0)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),reach(103);reach(52);reach(76);reach(9);reach(94)
tree_100_15.lp,reach(116),\+reach(116);reach(13),\+reach(2);\+reach(41);\+reach(21);\+reach(88);\+reach(106)
tree_100_15.lp,reach(116),\+reach(116);reach(13),\+reach(95);\+reach(54);\+reach(74);\+reach(102)
tree_100_15.lp,reach(116),\+reach(116);reach(13),\+reach(105);\+reach(73);\+reach(100)
tree_100_15.lp,reach(116),\+reach(116);reach(13),\+reach(89);\+reach(49)
tree_100_15.lp,reach(116),\+reach(116);reach(13),\+reach(0)
tree_100_15.lp,reach(116),\+reach(116);reach(13),
tree_100_15.lp,reach(116),\+reach(116);reach(13),reach(106)
tree_100_15.lp,reach(116),\+reach(116);reach(13),reach(50);reach(60)
tree_100_15.lp,reach(116),\+reach(116);reach(13),reach(104);reach(101);reach(114)
tree_100_15.lp,reach(116),\+reach(116);reach(13),reach(48);reach(98);reach(46);reach(51)
tree_100_15.lp,reach(116),\+reach(116);reach(13),reach(57);reach(82);reach(85);reach(3);reach(47)
tree_100_15.lp,reach(116),\+reach(116),\+reach(0);\+reach(23);\+reach(46);\+reach(34);\+reach(61)
tree_100_15.lp,reach(116),\+reach(116),\+reach(65);\+reach(112);\+reach(12);\+reach(75)
tree_100_15.lp,reach(116),\+reach(116),\+reach(37);\+reach(112);\+reach(83)
tree_100_15.lp,reach(116),\+reach(116),\+reach(60);\+reach(62)
tree_100_15.lp,reach(116),\+reach(116),\+reach(114)
tree_100_15.lp,reach(116),\+reach(116),
tree_100_15.lp,reach(116),\+reach(116),reach(55)
tree_100_15.lp,reach(116),\+reach(116),reach(23);reach(60)
tree_100_15.lp,reach(116),\+reach(116),reach(2);reach(89);reach(92)
tree_100_15.lp,reach(116),\+reach(116),reach(47);reach(49);reach(80);reach(67)
tree_100_15.lp,reach(116),\+reach(116),reach(32);reach(85);reach(73);reach(39);reach(52)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),\+reach(46);\+reach(35);\+reach(30);\+reach(58);\+reach(0)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),\+reach(52);\+reach(15);\+reach(36);\+reach(35)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),\+reach(24);\+reach(72);\+reach(6)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),\+reach(59);\+reach(38)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),\+reach(102)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),reach(32)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),reach(75);reach(42)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),reach(29);reach(3);reach(102)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),reach(107);reach(101);reach(71);reach(96)
tree_100_15.lp,reach(116),\+reach(116);\+reach(56),reach(62);reach(105);reach(101);reach(13);reach(42)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),\+reach(49);\+reach(112);\+reach(8);\+reach(34);\+reach(24)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),\+reach(53);\+reach(104);\+reach(15);\+reach(94)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),\+reach(90);\+reach(30);\+reach(18)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),\+reach(8);\+reach(110)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),\+reach(36)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),reach(33)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),reach(46);reach(57)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),reach(75);reach(60);reach(30)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),reach(112);reach(2);reach(19);reach(49)
tree_100_15.lp,reach(116),\+reach(116);\+reach(66);\+reach(26),reach(97);reach(1);reach(54);reach(46);reach(72)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),\+reach(113);\+reach(14);\+reach(17);\+reach(3);\+reach(103)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),\+reach(105);\+reach(53);\+reach(76);\+reach(90)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),\+reach(114);\+reach(2);\+reach(76)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),\+reach(108);\+reach(58)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),\+reach(110)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),reach(5)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),reach(84);reach(114)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),reach(29);reach(80);reach(67)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),reach(100);reach(71);reach(6);reach(37)
tree_100_15.lp,reach(116),\+reach(116);\+reach(45);\+reach(81);\+reach(58),reach(77);reach(56);reach(74);reach(33);reach(105)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),\+reach(38);\+reach(14);\+reach(95);\+reach(48);\+reach(100)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),\+reach(78);\+reach(32);\+reach(97);\+reach(94)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),\+reach(48);\+reach(28);\+reach(42)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),\+reach(107);\+reach(77)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),\+reach(53)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),reach(43)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),reach(33);reach(15)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),reach(54);reach(114);reach(72)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),reach(19);reach(96);reach(16);reach(26)
tree_100_15.lp,reach(116),\+reach(116);\+reach(100);\+reach(75);\+reach(51);\+reach(6),reach(3);reach(88);reach(32);reach(108);reach(84)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),\+reach(95);\+reach(79);\+reach(36);\+reach(113);\+reach(102)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),\+reach(72);\+reach(13);\+reach(30);\+reach(73)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),\+reach(19);\+reach(28);\+reach(88)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),\+reach(95);\+reach(12)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),\+reach(113)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),reach(17)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),reach(102);reach(40)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),reach(57);reach(23);reach(99)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),reach(42);reach(67);reach(76);reach(91)
tree_100_15.lp,reach(116),\+reach(116);\+reach(11);\+reach(77);\+reach(88);\+reach(61);\+reach(62),reach(7);reach(106);reach(34);reach(22);reach(13)
