file,query,evidence,intervention
tree_100_7.lp,reach(108),\+reach(108);reach(101),reach(43);reach(54)
tree_100_7.lp,reach(108),\+reach(108);\+reach(60);reach(83),reach(9);reach(5)
tree_100_7.lp,reach(108),\+reach(108);reach(35);\+reach(101);reach(12);\+reach(103);\+reach(105);\+reach(104);reach(100),reach(81);reach(14)
tree_100_7.lp,reach(108),\+reach(108);\+reach(102);reach(67);reach(101),reach(44);reach(83)
tree_100_7.lp,reach(108),\+reach(108);reach(83);\+reach(103);\+reach(101);reach(105),reach(99);reach(62)
tree_100_7.lp,reach(108),\+reach(108);\+reach(23);reach(10),reach(102);reach(19)
tree_100_7.lp,reach(108),\+reach(108);reach(58);reach(11);reach(101),reach(0);reach(27)
tree_100_7.lp,reach(108),\+reach(108);\+reach(93);reach(11),reach(89);reach(101)
tree_100_8.lp,reach(109),\+reach(109);reach(62);reach(102),reach(98);reach(39)
tree_100_8.lp,reach(109),\+reach(109);reach(104),reach(57);reach(0)
tree_100_8.lp,reach(109),\+reach(109);\+reach(78);\+reach(47);reach(58),reach(104);reach(78)
tree_100_8.lp,reach(109),\+reach(109);reach(12);reach(101),reach(68);reach(98)
tree_100_8.lp,reach(109),\+reach(109);\+reach(24);reach(36);reach(48),reach(62);reach(79)
tree_100_8.lp,reach(109),\+reach(109);reach(77);\+reach(104);\+reach(100);reach(106),reach(17);reach(53)
tree_100_8.lp,reach(109),\+reach(109);\+reach(53);\+reach(93);reach(79);\+reach(52),reach(37);reach(69)
tree_100_8.lp,reach(109),\+reach(109);reach(21);reach(80);\+reach(102);reach(100),reach(31);reach(40)
tree_100_8.lp,reach(109),\+reach(109);\+reach(38);reach(36);reach(39);\+reach(50),reach(61);reach(8)
tree_100_8.lp,reach(109),\+reach(109);reach(71);\+reach(101);reach(106),reach(85);reach(70)
tree_100_9.lp,reach(110),\+reach(110);\+reach(63);\+reach(98);reach(84);reach(96);reach(29);reach(83);\+reach(14),reach(23);reach(82)
tree_100_9.lp,reach(110),\+reach(110);\+reach(55);\+reach(40);reach(43);\+reach(60),reach(90);reach(108)
tree_100_9.lp,reach(110),\+reach(110);\+reach(103);\+reach(66);\+reach(78);reach(10),reach(99);reach(55)
tree_100_9.lp,reach(110),\+reach(110);\+reach(81);\+reach(28);reach(91),reach(13);reach(91)
tree_100_9.lp,reach(110),\+reach(110);reach(87);\+reach(101);\+reach(103);\+reach(107);\+reach(105);\+reach(102);reach(100),reach(70);reach(96)
tree_100_9.lp,reach(110),\+reach(110);reach(99);reach(68);reach(107),reach(67);reach(60)
tree_100_9.lp,reach(110),\+reach(110);reach(28);\+reach(107);\+reach(100);reach(101),reach(83);reach(75)
tree_100_9.lp,reach(110),\+reach(110);\+reach(4);reach(15),reach(100);reach(86)
tree_100_9.lp,reach(110),\+reach(110);reach(64);reach(100),reach(35);reach(42)
tree_100_9.lp,reach(110),\+reach(110);reach(33);\+reach(100);\+reach(106);reach(103),reach(52);reach(105)
